City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
118,San Luis,AR,-33.295,-66.3356,87.26,30,0,16.06,clear sky
119,Soyaux,FR,45.65,0.2,48.18,88,75,5.75,broken clouds
120,Maumere,ID,-8.6199,122.2111,79.09,85,100,5.68,overcast clouds
121,Praia,CV,14.9215,-23.5087,77.54,61,20,18.41,few clouds
122,Port Hardy,CA,50.6996,-127.4199,37.76,93,75,9.22,broken clouds
123,Nyaunglebin,MM,17.95,96.7333,65.91,72,1,4.9,clear sky
124,Port Alfred,ZA,-33.5906,26.891,70.02,91,31,5.37,scattered clouds
125,Bambous Virieux,MU,-20.3428,57.7575,79.21,83,75,10.36,broken clouds
126,Araouane,ML,18.9048,-3.5265,68.85,22,0,7.96,clear sky
127,Guia De Isora,ES,28.2115,-16.7795,63.52,53,0,1.01,clear sky
128,Nanortalik,GL,60.1432,-45.2371,32.56,84,93,20.85,overcast clouds
129,Quelimane,MZ,-17.8786,36.8883,82.35,78,40,3.0,scattered clouds
130,Raudeberg,NO,61.9875,5.1352,36.86,85,100,10.0,overcast clouds
131,Cancun,MX,21.1743,-86.8466,77.05,57,84,9.4,broken clouds
132,Khasan,RU,42.4308,130.6434,11.55,59,0,10.69,clear sky
133,Baker City,US,44.7749,-117.8344,33.82,93,100,3.44,overcast clouds
134,Nemuro,JP,43.3236,145.575,27.77,77,100,34.76,overcast clouds
135,Escanaba,US,45.7453,-87.0646,30.63,76,100,8.39,overcast clouds
136,Roma,US,43.2128,-75.4557,34.09,73,90,3.44,overcast clouds
137,Urcos,PE,-13.6861,-71.6228,60.69,39,98,6.29,overcast clouds
138,Vestmannaeyjar,IS,63.4427,-20.2734,34.79,64,0,13.8,clear sky
139,Isangel,VU,-19.55,169.2667,78.75,89,98,9.93,overcast clouds
140,Hithadhoo,MV,-0.6,73.0833,82.72,68,100,2.98,overcast clouds
141,Kapiri Mposhi,ZM,-13.9652,28.6809,65.23,97,100,6.38,moderate rain
142,Castro,BR,-24.7911,-50.0119,73.76,85,100,6.04,overcast clouds
143,Mount Isa,AU,-20.7333,139.5,74.97,64,6,3.44,light rain
144,Ribeira Grande,PT,38.5167,-28.7,61.2,63,40,8.05,scattered clouds
145,Lompoc,US,34.6391,-120.4579,64.56,75,75,5.01,broken clouds
146,Wattegama,LK,6.7989,81.4808,74.32,91,91,4.81,overcast clouds
147,Bulungu,CD,-4.55,18.6,68.7,90,100,0.25,overcast clouds
148,Kamenka,RU,51.3223,42.7678,7.75,97,100,4.45,overcast clouds
149,Ilebo,CD,-4.3167,20.5833,73.87,81,100,1.3,overcast clouds
150,Bonito,BR,-21.1211,-56.4819,92.97,43,73,7.47,broken clouds
151,Whitehorse,CA,60.7161,-135.0538,-21.91,67,40,3.0,scattered clouds
152,Vila,PT,42.0304,-8.1588,41.88,84,78,5.84,broken clouds
153,Beloha,MG,-25.1667,45.05,74.07,83,77,15.86,broken clouds
154,Scarborough,GB,54.2797,-0.4044,35.53,80,4,3.0,clear sky
155,Beziers,FR,43.3476,3.219,53.38,94,90,6.91,overcast clouds
156,Oranjemund,NA,-28.55,16.4333,62.38,88,0,13.38,clear sky
157,Port-Gentil,GA,-0.7193,8.7815,80.56,89,75,9.22,broken clouds
158,Trinec,CZ,49.6776,18.6708,50.45,79,100,16.96,overcast clouds
159,Avera,US,33.194,-82.5271,53.11,39,1,9.55,clear sky
160,Cherskiy,RU,68.75,161.3,5.25,95,100,5.68,overcast clouds
161,Naze,JP,28.3667,129.4833,55.83,67,10,5.82,clear sky
162,Svetlaya,RU,46.5389,138.3297,1.35,71,36,9.1,scattered clouds
163,Sept-Iles,CA,50.2001,-66.3821,6.06,70,75,5.01,broken clouds
164,Tautira,PF,-17.7333,-149.15,82.42,79,87,8.12,light rain
165,Namatanai,PG,-3.6667,152.4333,78.96,86,100,7.25,moderate rain
166,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,48,40,14.97,scattered clouds
167,New Norfolk,AU,-42.7826,147.0587,57.65,75,100,0.65,overcast clouds
168,Beyneu,KZ,45.3167,55.2,33.58,92,99,16.15,overcast clouds
169,Kununurra,AU,-15.7667,128.7333,75.18,88,90,6.91,light rain
170,Namibe,AO,-15.1961,12.1522,69.64,81,86,5.7,overcast clouds
171,Kumluca,TR,36.3703,30.2869,54.68,67,6,4.7,clear sky
172,Mahaut,DM,15.35,-61.4,86.94,45,20,8.05,few clouds
173,Richards Bay,ZA,-28.783,32.0377,73.17,93,98,5.88,overcast clouds
174,Cidreira,BR,-30.1811,-50.2056,76.68,86,99,9.86,overcast clouds
175,Acapulco,MX,16.8634,-99.8901,84.16,61,0,6.93,clear sky
176,Inta,RU,66.0317,60.1659,-11.54,98,100,9.35,overcast clouds
177,Kavaratti,IN,10.5669,72.642,80.8,74,0,4.29,clear sky
178,Kahului,US,20.8947,-156.47,74.46,89,1,8.46,clear sky
179,Pimentel,PE,-6.8367,-79.9342,80.89,54,0,12.66,clear sky
180,Natal,BR,-5.795,-35.2094,86.65,62,20,19.57,few clouds
181,Ishigaki,JP,24.3448,124.1572,72.41,71,100,21.43,overcast clouds
182,Ponta Do Sol,PT,32.6667,-17.1,63.12,54,8,9.66,clear sky
183,Uyemskiy,RU,64.4743,40.8524,-21.95,76,20,0.0,few clouds
184,Hamilton,US,39.1834,-84.5333,43.59,57,23,3.0,few clouds
185,Winslow,US,35.0242,-110.6974,45.97,47,4,1.01,clear sky
186,Someshwar,IN,13.5,75.0667,76.37,56,28,3.78,scattered clouds
187,Ginda,IN,30.6945,78.4932,44.91,89,100,1.14,overcast clouds
188,Suntar,RU,62.1444,117.6319,-49.79,100,56,2.44,broken clouds
189,Hastings,GB,50.8552,0.5729,37.89,72,100,18.5,overcast clouds
190,Geraldton,AU,-28.7667,114.6,70.21,88,0,4.61,clear sky
191,Port Macquarie,AU,-31.4333,152.9167,71.56,100,75,3.44,broken clouds
192,Mnogovershinnyy,RU,53.9353,139.9242,-17.12,79,1,4.0,clear sky
193,Tomatlan,MX,19.9333,-105.25,90.57,36,0,7.96,clear sky
194,Esso,RU,55.9333,158.7,28.47,96,100,9.1,light snow
195,Bredasdorp,ZA,-34.5322,20.0403,65.28,73,15,8.46,few clouds
196,La Ronge,CA,55.1001,-105.2842,-12.03,90,100,9.24,overcast clouds
197,Airai,TL,-8.9266,125.4092,61.38,93,100,2.15,light rain
198,Pisco,PE,-13.7,-76.2167,78.03,70,8,6.29,clear sky
199,Severo-Kurilsk,RU,50.6789,156.125,23.7,84,98,9.62,overcast clouds
200,Puerto Ayora,EC,-0.7393,-90.3518,84.16,80,100,9.15,overcast clouds
201,Teguise,ES,29.0605,-13.564,64.62,73,20,18.41,few clouds
202,Bamako,ML,12.65,-8.0,82.81,18,8,5.75,clear sky
203,Atambua,ID,-9.1061,124.8925,74.53,89,100,2.89,moderate rain
204,Narsaq,GL,60.9167,-46.05,43.02,69,100,3.53,overcast clouds
205,Arman,RU,59.7,150.1667,15.37,89,100,8.68,overcast clouds
206,Tuatapere,NZ,-46.1333,167.6833,61.83,96,65,1.63,broken clouds
207,Leh,IN,34.1667,77.5833,17.69,93,100,3.53,overcast clouds
208,Hay River,CA,60.8156,-115.7999,-31.02,68,75,10.36,broken clouds
209,Ligayan,PH,4.6533,119.4706,80.76,79,100,7.0,overcast clouds
210,Peterhead,GB,57.5058,-1.7981,37.8,80,47,32.21,light rain
211,Padrauna,IN,26.9025,83.9819,55.99,60,6,5.03,clear sky
212,Ixtapa,MX,20.7,-105.2,88.63,39,0,7.2,clear sky
213,Ahipara,NZ,-35.1667,173.1667,66.81,82,87,8.05,overcast clouds
214,Xuddur,SO,4.1213,43.8894,81.0,40,85,8.32,overcast clouds
215,Havoysund,NO,70.9963,24.6622,16.68,90,100,23.31,light snow
216,Kenai,US,60.5544,-151.2583,-2.9,79,9,6.51,clear sky
217,Khatanga,RU,71.9667,102.5,-33.54,85,19,11.34,few clouds
218,Carlsbad,US,33.1581,-117.3506,65.84,60,23,3.0,few clouds
219,Itumbiara,BR,-18.4192,-49.2153,81.03,78,99,7.9,overcast clouds
220,Puerto Ayacucho,VE,5.6639,-67.6236,93.9,28,92,10.31,overcast clouds
221,Hasaki,JP,35.7333,140.8333,34.2,41,4,25.01,clear sky
222,Ravar,IR,31.2656,56.8055,47.73,59,0,2.77,clear sky
223,Muravlenko,RU,63.7898,74.523,-8.18,93,98,19.73,overcast clouds
224,Bethel,US,41.3712,-73.414,34.84,53,2,1.01,clear sky
225,Smolensk,RU,55.0,33.0,31.21,98,100,7.36,overcast clouds
226,Half Moon Bay,US,37.4636,-122.4286,59.05,96,75,4.61,mist
227,Husavik,IS,66.0449,-17.3389,13.1,92,80,14.14,broken clouds
228,Salekhard,RU,66.53,66.6019,-6.27,99,100,9.86,light snow
229,Olesno,PL,50.877,18.4209,50.54,92,100,11.21,overcast clouds
230,Mar Del Plata,AR,-38.0023,-57.5575,73.42,62,20,20.0,few clouds
231,Urumqi,CN,43.801,87.6005,7.75,85,85,4.47,smoke
232,Hofn,IS,64.2539,-15.2082,24.3,65,0,14.81,clear sky
233,Bosaso,SO,11.2842,49.1816,76.37,80,99,0.78,overcast clouds
234,Bulawayo,ZW,-20.15,28.5833,70.74,73,84,7.16,broken clouds
235,Huntington,US,38.4193,-82.4452,47.1,55,67,1.99,broken clouds
236,Ancud,CL,-41.8697,-73.8203,59.23,61,97,9.24,overcast clouds
237,Vao,NC,-22.6667,167.4833,78.03,80,87,18.25,overcast clouds
238,Lafiagi,NG,8.8667,5.4167,84.85,21,63,2.21,broken clouds
239,Marfino,RU,55.7028,37.3822,19.54,85,90,4.47,overcast clouds
240,Port Keats,AU,-14.25,129.55,84.76,78,100,11.39,light rain
241,Saint-Augustin,CA,51.226,-58.6502,-1.41,78,2,11.63,clear sky
242,Buluang,PH,13.3068,123.3425,70.23,92,11,3.89,few clouds
243,Adrar,MR,20.5022,-10.0711,67.19,18,23,9.95,few clouds
244,Chesma,RU,53.8111,60.6533,-4.77,92,9,7.96,clear sky
245,Antalaha,MG,-14.9003,50.2788,77.23,91,46,4.43,moderate rain
246,Alice Springs,AU,-23.7,133.8833,76.55,18,1,5.75,clear sky
247,Sterling,US,39.0062,-77.4286,37.76,77,1,1.99,moderate rain
248,Umm Kaddadah,SD,13.6017,26.6876,61.92,25,86,13.8,overcast clouds
249,Kloulklubed,PW,7.0419,134.2556,80.89,81,100,12.84,overcast clouds
250,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.4,85,94,17.76,overcast clouds
251,Praya,CV,14.9215,-23.5087,77.54,61,20,18.41,few clouds
252,Xichang,CN,27.8964,102.2634,40.35,59,2,0.51,clear sky
253,Soyo,AO,-6.1349,12.3689,78.64,84,70,4.88,broken clouds
254,Ladario,BR,-19.0047,-57.6017,85.55,66,89,5.99,overcast clouds
255,Luebo,CD,-5.35,21.4167,70.59,97,100,1.14,overcast clouds
256,Alexandria,EG,31.2156,29.9553,60.85,62,0,8.23,clear sky
257,Provideniya,RU,64.3833,-173.3,6.13,71,17,6.58,few clouds
258,Kasempa,ZM,-13.4584,25.8338,65.3,96,100,3.49,overcast clouds
259,Mandalgovi,MN,45.7625,106.2708,11.17,44,0,4.18,clear sky
260,Rochegda,RU,62.8,43.25,-24.05,100,81,1.79,broken clouds
261,Santa Maria,BR,-29.6842,-53.8069,76.14,80,100,2.04,moderate rain
262,Kondinskoye,RU,59.6481,67.41,-1.1,95,89,10.69,overcast clouds
263,Rocha,UY,-34.4833,-54.3333,73.71,91,100,7.0,light rain
264,Keti Bandar,PK,24.1447,67.4497,60.76,88,100,21.65,overcast clouds
265,Sobolevo,RU,54.4299,31.8996,32.94,99,100,9.4,overcast clouds
266,Byron Bay,AU,-28.65,153.6167,73.35,92,31,13.62,scattered clouds
267,Sorland,NO,67.667,12.6934,33.66,90,100,19.28,light snow
268,Bandarbeyla,SO,9.4942,50.8122,77.65,80,100,10.49,overcast clouds
269,Tondano,ID,1.3038,124.9112,66.29,91,100,1.57,overcast clouds
270,Pacific Grove,US,36.6177,-121.9166,58.57,85,87,1.01,overcast clouds
271,Acari,PE,-15.4311,-74.6158,78.84,62,87,11.52,overcast clouds
272,Thompson,CA,55.7435,-97.8558,-9.31,88,65,7.38,broken clouds
273,Dikson,RU,73.5069,80.5464,-24.81,88,100,19.6,overcast clouds
274,Batavia,US,41.85,-88.3126,34.36,74,100,7.0,overcast clouds
275,Rauma,FI,61.1272,21.5113,32.04,91,100,9.66,overcast clouds
276,Wuwei,CN,37.9281,102.6414,24.73,40,6,1.61,clear sky
277,Tiksi,RU,71.6872,128.8694,-37.07,97,83,8.1,broken clouds
278,Nikolskoye,RU,59.7035,30.7861,28.29,98,100,8.32,snow
279,Bowmore,US,34.9421,-79.3031,46.69,45,0,1.01,clear sky
280,Esperance,AU,-33.8667,121.9,64.24,78,54,13.49,broken clouds
281,Russell,US,32.3502,-85.1999,53.38,65,36,8.14,scattered clouds
282,Port-Cartier,CA,50.0334,-66.8654,5.76,78,100,6.55,overcast clouds
283,Port Lincoln,AU,-34.7333,135.8667,61.0,73,100,17.0,overcast clouds
284,Ucluelet,CA,48.9329,-125.5528,36.09,91,100,1.01,moderate rain
285,Bayir,TR,37.2687,28.2167,52.32,93,51,2.77,broken clouds
286,Makakilo City,US,21.3469,-158.0858,71.92,90,75,4.61,light rain
287,Jiexiu,CN,37.0244,111.9125,30.06,47,74,0.72,broken clouds
288,Naryan-Mar,RU,67.6713,53.087,-10.46,96,94,8.25,overcast clouds
289,Muros,ES,42.7762,-9.0603,52.84,91,55,13.44,broken clouds
290,Lamar,US,33.6668,-95.5836,56.64,35,14,17.38,few clouds
291,Camabatela,AO,-8.1881,15.375,61.2,99,100,2.33,overcast clouds
292,Vardo,NO,70.3705,31.1107,19.38,73,75,20.71,light snow
293,Atar,MR,20.5169,-13.0499,71.96,16,62,9.35,broken clouds
294,Turayf,SA,31.6725,38.6637,46.51,80,0,10.8,clear sky
295,Arkhara,RU,49.4212,130.0842,-26.54,99,61,3.78,broken clouds
296,Rio Gallegos,AR,-51.6226,-69.2181,52.57,38,100,32.01,overcast clouds
297,Tanout,NE,14.9709,8.8879,66.72,25,88,13.53,overcast clouds
298,Siderno,IT,38.2779,16.302,55.83,64,1,7.58,clear sky
299,Kholtoson,RU,50.2981,103.3097,-2.04,93,11,4.18,few clouds
300,Mount Gambier,AU,-37.8333,140.7667,58.91,94,90,17.27,overcast clouds
301,Luau,AO,-10.7073,22.2247,64.9,96,100,3.67,overcast clouds
302,Tual,ID,-5.6667,132.75,82.2,78,100,21.09,moderate rain
303,Mabaruma,GY,8.2,-59.7833,82.54,52,64,6.73,broken clouds
304,Matara,LK,5.9485,80.5353,76.41,88,14,1.43,few clouds
305,Igrim,RU,63.1906,64.4162,-5.04,95,100,6.87,overcast clouds
306,Kushima,JP,31.4583,131.2333,42.12,69,6,6.02,clear sky
307,Lavrentiya,RU,65.5833,-171.0,1.02,70,88,2.33,overcast clouds
308,Tornio,FI,65.8481,24.1466,14.02,93,100,12.86,light snow
309,Yumen,CN,40.2833,97.2,19.27,44,100,7.9,overcast clouds
310,Milkovo,RU,54.7167,158.6167,16.5,96,100,2.19,snow
