City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Jamestown,US,2021-12-30 16:26:01,42.097,-79.2353,40.32,72,90,1.99
120,Avera,US,2021-12-30 16:28:51,33.194,-82.5271,76.37,75,99,14.74
121,Iwanai,JP,2021-12-30 16:28:51,42.9744,140.5089,18.88,83,100,15.79
122,Sinnamary,GF,2021-12-30 16:28:52,5.3833,-52.95,79.47,84,38,10.0
123,Barrow,US,2021-12-30 16:28:52,71.2906,-156.7887,-23.78,76,1,6.91
124,Taunggyi,MM,2021-12-30 16:28:52,20.7833,97.0333,52.88,76,0,1.12
125,Huron,US,2021-12-30 16:28:53,41.1501,-82.5499,41.02,93,100,4.79
126,Strelka,RU,2021-12-30 16:28:53,58.0728,93.0344,6.4,92,100,11.72
127,Ilulissat,GL,2021-12-30 16:28:53,69.2167,-51.1,5.02,51,20,3.44
128,Barstow,US,2021-12-30 16:28:54,34.8986,-117.0228,47.28,81,100,3.0
129,Chuy,UY,2021-12-30 16:28:54,-33.6971,-53.4616,84.76,46,2,12.62
130,Sitka,US,2021-12-30 16:28:55,57.0531,-135.33,30.09,74,1,4.61
131,Isangel,VU,2021-12-30 16:28:55,-19.55,169.2667,79.97,85,100,6.17
132,Katherine,AU,2021-12-30 16:28:55,-14.4667,132.2667,79.12,78,68,0.0
133,Coutances,FR,2021-12-30 16:28:56,49.05,-1.4333,58.86,80,49,13.11
134,Beloha,MG,2021-12-30 16:28:56,-25.1667,45.05,75.87,81,42,12.62
135,Kapaa,US,2021-12-30 16:28:56,22.0752,-159.319,71.47,83,100,4.0
136,Itarema,BR,2021-12-30 16:28:57,-2.9248,-39.9167,88.74,57,31,15.5
137,Tiznit,MA,2021-12-30 16:29:57,29.5833,-9.5,76.01,16,0,4.03
138,Bluff,NZ,2021-12-30 16:29:58,-46.6,168.3333,49.8,74,100,8.72
139,Ozark,US,2021-12-30 16:29:58,37.0209,-93.206,54.01,93,92,1.01
140,Camacha,PT,2021-12-30 16:29:58,33.0833,-16.3333,65.62,77,20,21.85
141,Mikkeli,FI,2021-12-30 16:29:25,61.6886,27.2723,24.91,86,90,9.22
142,Ayan,RU,2021-12-30 16:29:59,56.45,138.1667,-17.77,78,60,12.88
143,Moncton,CA,2021-12-30 16:26:30,46.1159,-64.8019,32.59,96,75,8.05
144,Maceio,BR,2021-12-30 16:28:27,-9.6658,-35.7353,89.04,55,40,13.8
145,Alice Springs,AU,2021-12-30 16:30:00,-23.7,133.8833,74.75,41,85,0.0
146,Grand Baie,MU,2021-12-30 16:30:01,-20.0182,57.5802,78.46,64,81,5.99
147,Provideniya,RU,2021-12-30 16:30:01,64.3833,-173.3,-3.98,85,68,12.5
148,Rundu,NA,2021-12-30 16:30:02,-17.9333,19.7667,83.1,36,78,4.92
149,Severo-Kurilsk,RU,2021-12-30 16:30:03,50.6789,156.125,30.33,96,100,31.5
150,Huayucachi,PE,2021-12-30 16:30:04,-12.1333,-75.2333,60.46,59,93,4.38
151,Camacari,BR,2021-12-30 16:30:05,-12.6975,-38.3242,83.97,63,79,7.74
152,Rena,NO,2021-12-30 16:27:03,61.1348,11.3641,18.93,96,99,3.85
153,Olafsvik,IS,2021-12-30 16:30:05,64.8945,-23.7142,28.72,66,4,7.65
154,Mersing,MY,2021-12-30 16:30:06,2.4312,103.8405,80.51,89,100,11.5
155,Yamada,JP,2021-12-30 16:30:07,39.4667,141.95,22.84,79,37,5.99
156,Green River,US,2021-12-30 16:28:41,41.5286,-109.4662,25.2,88,92,10.94
157,Janakkala,FI,2021-12-30 16:30:08,60.9,24.6,30.42,95,100,11.23
158,Sinfra,CI,2021-12-30 16:30:09,6.6167,-5.9167,94.37,27,11,3.2
159,Sulangan,PH,2021-12-30 16:30:10,11.1373,123.7228,79.03,83,93,25.46
160,Leh,IN,2021-12-30 16:30:10,34.1667,77.5833,-3.5,50,35,3.65
161,Saint-Leu,RE,2021-12-30 16:30:10,-21.15,55.2833,77.86,73,90,6.35
162,San Pedro De Macoris,DO,2021-12-30 16:30:11,18.4616,-69.2972,84.81,51,1,12.5
163,Hasaki,JP,2021-12-30 16:30:11,35.7333,140.8333,37.8,73,27,13.04
164,Sorong,ID,2021-12-30 16:30:11,-0.8833,131.25,79.92,83,69,8.84
165,Bengkulu,ID,2021-12-30 16:30:12,-3.8004,102.2655,74.93,94,96,2.66
166,Karlovo,BG,2021-12-30 16:30:12,42.6333,24.8,41.97,88,100,3.53
167,Saint-Philippe,RE,2021-12-30 16:30:12,-21.3585,55.7679,78.39,74,93,12.86
168,Atuona,PF,2021-12-30 16:30:13,-9.8,-139.0333,78.85,73,1,19.82
169,Carnarvon,AU,2021-12-30 16:30:13,-24.8667,113.6333,75.27,78,0,17.27
170,Arraial Do Cabo,BR,2021-12-30 16:26:55,-22.9661,-42.0278,78.76,83,90,14.97
171,Along,IN,2021-12-30 16:30:14,28.1667,94.7667,55.83,96,99,1.43
172,Kosh-Agach,RU,2021-12-30 16:30:14,50.0,88.6667,2.79,97,90,3.2
173,Voh,NC,2021-12-30 16:30:14,-20.9667,164.7,76.62,91,100,5.01
174,Lompoc,US,2021-12-30 16:30:15,34.6391,-120.4579,56.12,90,40,4.61
175,Cape Town,ZA,2021-12-30 16:27:33,-33.9258,18.4232,70.12,61,20,5.99
176,Dakar,SN,2021-12-30 16:30:15,14.6937,-17.4441,95.88,42,0,4.61
177,Thompson,CA,2021-12-30 16:30:16,55.7435,-97.8558,-12.23,95,99,5.01
178,Norman Wells,CA,2021-12-30 16:30:16,65.282,-126.8329,-18.36,69,75,8.05
179,Bani,DO,2021-12-30 16:31:17,18.2833,-70.3333,83.75,43,1,13.71
180,Sanford,US,2021-12-30 16:31:17,28.8006,-81.2731,77.92,91,75,9.22
181,Balkhash,KZ,2021-12-30 16:31:17,46.844,74.9804,12.45,60,13,18.3
182,Bilma,NE,2021-12-30 16:31:18,18.6853,12.9164,70.11,21,0,7.43
